,position
30528,0.9999999999999996
30529,0.9999999999999976
30530,0.04170993419037643
30531,3.162334002183175e-08
30532,0.9999999999562192
30533,1.0
30534,1.0
30535,1.0
30536,1.0
30537,0.9999998542806358
30538,0.99999999998642
30539,0.9999999999984219
30540,5.744656455101427e-65
30541,9.42608931310005e-55
30542,2.4108183374117836e-54
30543,1.2326058232071938e-57
30544,3.9616429891495466e-42
30545,8.091785297501482e-49
30546,3.888497008391304e-18
30547,9.829628083214358e-30
30548,1.4489673945951858e-45
30549,2.5973567151005593e-16
30550,1.745222956900749e-33
30551,1.0
30552,1.0
30553,1.0
30554,1.0
30555,1.0
30556,1.0
30557,1.0
30558,1.0
30559,1.0
30560,1.0
30561,1.0
30562,1.0
30563,1.0
30564,1.0
30565,2.5777391413341497e-34
30566,1.8504301589576865e-40
30567,3.731280265498407e-43
30568,1.0
30569,1.0
30570,1.0
30571,1.0
30572,1.0
30573,1.0
30574,1.0
30575,0.9999999999999942
30576,1.0
30577,1.0
30578,1.0
30579,1.0
30580,1.0
30581,1.0
30582,1.0
30583,1.0
30584,1.0
30585,1.0
30586,1.0
30587,1.0
30588,1.0
30589,1.800107285814555e-07
30590,0.9955673012390707
30591,0.9999881691927125
30592,4.0359572658240825e-24
30593,1.0
30594,1.0
30595,1.0
30596,1.0
30597,1.0
30598,1.0
30599,1.0
30600,1.0
30601,1.0
30602,1.0
30603,1.0
30604,1.0
30605,1.0
30606,1.0
30607,1.0
30608,1.0
30609,1.0
30610,1.0
30611,1.0
30612,1.0
30613,1.0
30614,1.0
30615,1.8556035718020454e-46
30616,3.95611061284715e-46
30617,0.9999999916045733
30618,0.9999999772061953
30619,1.0
30620,1.0
30621,1.0
30622,1.0
30623,1.0
30624,1.0
30625,1.0
30626,1.0
30627,1.0
30628,1.0
30629,1.0
30630,1.0
30631,1.0
30632,1.0
30633,1.0
30634,1.0
30635,1.0
30636,1.0
30637,1.0
30638,1.0
30639,1.0
30640,1.0
30641,1.0
30642,1.0
30643,1.0
30644,1.0
30645,1.0
30646,1.0
30647,1.0
30648,1.0
30649,1.0
30650,1.0
30651,1.0
30652,1.0
30653,1.0
30654,1.0
30655,1.0
30656,1.0
30657,1.0
30658,1.0
30659,1.0
30660,1.0
30661,1.0
30662,1.0
30663,1.0
30664,1.0
30665,1.0
30666,1.0
30667,1.0
30668,1.0
30669,1.0
30670,1.0
30671,1.0
30672,1.0
30673,1.0
30674,1.0
30675,1.0
30676,1.0
30677,1.0
30678,1.0
30679,1.0
30680,1.0
30681,1.0
30682,1.0
30683,1.0
30684,1.0
30685,1.0
30686,1.0
30687,1.0
30688,1.0
30689,1.0
30690,1.0
30691,1.0
30692,1.0
30693,1.0
30694,1.0
30695,1.0
30696,1.0
30697,1.0
30698,1.0
30699,1.0
30700,1.0
30701,1.0
30702,1.0
30703,1.0
30704,1.0
30705,1.0
30706,1.0
30707,1.0
30708,1.0
30709,1.0
30710,1.0
30711,1.0
30712,1.0
30713,1.0
30714,1.0
30715,1.0
30716,1.0
30717,1.0
30718,1.0
30719,1.0
30720,1.0
30721,1.0
30722,1.0
30723,1.0
30724,1.0
30725,1.0
30726,1.0
30727,1.0
30728,1.0
30729,1.0
30730,1.0
30731,1.0
30732,1.0
30733,1.0
30734,1.0
30735,1.0
30736,1.0
30737,1.0
30738,1.0
30739,1.0
30740,1.0
30741,1.0
30742,1.0
30743,1.0
30744,1.0
30745,1.0
30746,1.0
30747,1.0
30748,1.0
30749,1.0
30750,1.0
30751,1.0
30752,1.0
30753,1.0
30754,1.0
30755,1.0
30756,1.0
30757,1.0
30758,0.9999980793464777
30759,1.0
30760,1.0
30761,1.0
30762,1.0
30763,1.0
30764,1.0
30765,1.0
30766,1.0
30767,1.0
30768,1.0
30769,1.0
30770,1.0
30771,1.0
30772,1.0
30773,1.0
30774,2.5003534794074503e-16
30775,0.9999999999999978
30776,1.0
30777,1.0
30778,1.0
30779,1.0
30780,1.0
30781,1.0
30782,1.0
30783,1.0
30784,1.0
30785,0.9999999999999996
30786,1.0
30787,1.0
30788,1.0
30789,1.0
30790,1.0
30791,1.0
30792,1.0
30793,1.0
30794,1.0
30795,1.0
30796,1.0
30797,1.0
30798,1.0
30799,1.0
30800,1.0
30801,1.0
30802,1.0
30803,1.0
30804,1.0
30805,1.0
30806,1.0
30807,1.0
30808,1.0
30809,1.0
30810,1.0
30811,1.0
30812,1.0
30813,1.0
30814,1.0
30815,1.0
30816,1.0
30817,1.0
30818,1.0
30819,1.0
30820,1.0
30821,1.0
30822,1.0
30823,1.0872951936676973e-16
30824,1.0
30825,1.0
30826,1.0
30827,1.0
30828,1.0
30829,1.0
30830,1.0
30831,1.0
30832,1.0
30833,1.0
30834,1.0
30835,1.0
30836,1.0
30837,1.0
30838,7.333446188512815e-31
30839,2.5151036136828004e-29
30840,0.9999999999999998
30841,1.0
30842,1.0
30843,1.0
30844,1.0
30845,1.0
30846,9.769676153388206e-27
30847,2.1104155131705384e-21
30848,1.2431497059614887e-31
30849,1.0
30850,1.0
30851,1.0
30852,1.0
30853,1.0
30854,1.0
30855,1.0
30856,1.0
30857,1.0
30858,1.0
30859,1.0
30860,1.0
30861,1.0
30862,1.0
30863,1.0
30864,1.0
30865,1.0
30866,1.0
30867,1.0
30868,3.822794195769072e-12
30869,2.0935031414667116e-23
30870,1.0
30871,1.0
30872,1.0
30873,1.0
30874,0.9999999999999993
30875,1.0
30876,1.0
30877,1.0
30878,1.0
30879,1.0
30880,1.0
30881,1.0
30882,1.0
30883,1.0
30884,1.0
30885,1.0
30886,1.0
30887,0.9999999999999951
30888,0.9999999999999998
30889,0.9999999999855105
30890,1.0
30891,1.0
30892,1.0
30893,1.0
30894,1.0
30895,1.0
30896,1.0
30897,7.195963744908503e-25
30898,1.0
30899,1.0
30900,1.0
30901,1.0
30902,1.0
30903,1.0
30904,1.0
30905,1.0
30906,1.0
30907,1.0
30908,1.0
30909,1.0
30910,1.0
30911,1.0
30912,1.0
30913,1.0
30914,1.0
30915,1.0
30916,1.0
30917,1.0
30918,1.0
